subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,subject,date,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
2,2,1,#6,5,9,8,18,2022/9/17,0,0,0,0,0,1,0,0,0,1,children
2,2,1,#9,0,8,9,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#9,4,8,10,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#6,5,8,11,18,2022/9/17,0,0,0,0,0,1,0,0,0,1,children
2,2,1,#9,0,7,12,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#9,6,8,1,19,2022/9/23,0,0,0,0,0,1,0,1,0,2,children
3,1,2,#9,0,5,2,19,2022/9/23,0,0,0,0,1,0,0,0,0,2,children
3,1,2,#6,6,7,3,19,2022/9/23,0,0,0,0,0,1,1,0,0,1,children
3,1,2,#9,4,7,4,19,2022/9/23,0,0,0,1,0,0,1,0,0,2,children
3,1,2,#9,0,9,5,19,2022/9/23,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#6,5,8,6,19,2022/9/23,0,0,0,0,1,0,0,1,0,1,children
3,1,2,#6,5,9,7,19,2022/9/23,0,0,0,0,1,0,0,0,1,1,children
3,1,2,#9,4,8,8,19,2022/9/23,0,0,0,1,0,0,0,1,0,2,children
3,1,2,#9,6,9,9,19,2022/9/23,0,0,0,0,0,1,0,0,1,2,children
3,1,2,#6,4,9,10,19,2022/9/23,0,0,0,1,0,0,0,0,1,1,children
3,1,2,#9,0,6,11,19,2022/9/23,0,0,0,0,0,1,0,0,0,2,children
3,1,2,#9,4,9,12,19,2022/9/23,0,0,0,1,0,0,0,0,1,2,children
4,2,1,#9,0,8,1,20,2022/9/23,0,0,0,0,0,0,0,1,0,2,children
4,2,1,#9,6,8,2,20,2022/9/23,0,0,0,0,0,1,0,1,0,2,children
4,2,1,#6,5,8,3,20,2022/9/23,0,0,0,0,1,0,0,1,0,1,children
4,2,1,#9,5,7,4,20,2022/9/23,0,0,0,0,1,0,1,0,0,2,children
4,2,1,#9,0,5,5,20,2022/9/23,0,0,0,0,1,0,0,0,0,2,children
4,2,1,#9,4,8,6,20,2022/9/23,0,0,0,1,0,0,0,1,0,2,children
4,2,1,#6,4,8,7,20,2022/9/23,0,0,0,1,0,0,0,1,0,1,children
4,2,1,#6,5,9,8,20,2022/9/23,0,0,0,0,1,0,0,0,1,1,children
4,2,1,#9,4,7,9,20,2022/9/23,0,0,0,1,0,0,1,0,0,2,children
4,2,1,#9,0,7,10,20,2022/9/23,0,0,0,0,0,0,1,0,0,2,children
4,2,1,#9,5,8,11,20,2022/9/23,0,0,0,0,1,0,0,1,0,2,children
4,2,1,#6,6,7,12,20,2022/9/23,0,0,0,0,0,1,1,0,0,1,children
5,1,3,#9,0,5,1,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#9,4,9,2,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#6,4,7,3,21,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
5,1,3,#6,4,8,4,21,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
5,1,3,#9,0,8,5,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#6,5,8,6,21,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
5,1,3,#9,5,9,7,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#9,6,9,8,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#9,6,8,9,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#6,4,9,10,21,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
5,1,3,#9,5,8,11,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
5,1,3,#9,0,9,12,21,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
6,2,2,#9,0,8,1,22,2022/9/25,0,0,0,0,0,0,0,1,0,2,children
6,2,2,#6,4,7,2,22,2022/9/25,0,0,0,1,0,0,0,0,0,1,children
6,2,2,#6,6,9,3,22,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
6,2,2,#9,0,7,4,22,2022/9/25,0,0,0,0,0,0,1,0,0,2,children
6,2,2,#6,5,7,5,22,2022/9/25,0,0,0,0,1,0,0,0,0,1,children
6,2,2,#9,0,4,6,22,2022/9/25,0,0,0,1,0,0,0,0,0,2,children
6,2,2,#6,6,8,7,22,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
6,2,2,#9,5,7,8,22,2022/9/25,0,0,0,0,1,0,0,0,0,2,children
6,2,2,#9,6,7,9,22,2022/9/25,0,0,0,0,0,1,0,0,0,2,children
6,2,2,#6,4,8,10,22,2022/9/25,0,0,0,1,0,0,0,0,0,1,children
6,2,2,#9,5,9,11,22,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
6,2,2,#9,5,8,12,22,2022/9/25,0,0,0,0,1,0,0,0,0,2,children
2,2,3,#9,0,6,1,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
2,2,3,#6,6,9,2,23,2022/9/25,0,0,0,0,1,0,0,0,0,1,children
2,2,3,#6,5,7,3,23,2022/9/25,0,0,0,0,0,1,0,0,0,1,children
2,2,3,#9,6,7,4,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
2,2,3,#6,6,8,5,23,2022/9/25,0,0,0,0,1,0,0,0,0,1,children
2,2,3,#9,4,8,6,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
